,gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction,patient,passage,group
5718,SUN2,ENSG00000100242,0.760193599641241,4.31461019988471e-06,0.605449594860166,3.29298750020442e-06,trans,Towards UnRx,Pt5,X10,1
5719,SVIL,ENSG00000197321,-1.02701528932747,3.72487347924302e-16,-1.14524152112014,2.10293345384137e-25,cis,Towards UnRx,Pt5,X10,1
5720,SYAP1,ENSG00000169895,0.554004248043522,1.28639090135256e-07,0.282270981904002,0.00303796104217326,cis,Towards UnRx,Pt5,X10,1
5721,SYMPK,ENSG00000125755,0.558001395750875,0.000162134253824416,-0.00426304683119944,0.987490266830929,trans,Away from UnRx,Pt5,X10,1
5722,SYNGR2,ENSG00000108639,0.841012574452208,1.65012235420054e-16,-0.0562221452552948,0.55294010128081,trans,Away from UnRx,Pt5,X10,1
5723,SYNJ2,ENSG00000078269,-0.728873430334475,1.89912202219093e-05,-0.270087092631121,0.0856666647696464,trans,Towards UnRx,Pt5,X10,1
5724,SYT14,ENSG00000143469,-0.786552829322343,9.54860965308677e-08,0.395592640286922,0.0103136061253307,cis,Away from UnRx,Pt5,X10,1
5725,SYTL4,ENSG00000102362,1.19615786913551,1.56294277006096e-10,0.895911134146775,2.38580494991596e-10,cis,Towards UnRx,Pt5,X10,1
5726,TACO1,ENSG00000136463,0.674487158204804,4.21442412267144e-06,0.449396710794313,0.000111251508611613,trans,Towards UnRx,Pt5,X10,1
5727,TACSTD2,ENSG00000184292,-0.506179168285528,3.35824645780876e-09,-0.662153159185862,9.14564897998054e-22,trans,Towards UnRx,Pt5,X10,1
5728,TAF6,ENSG00000106290,-0.5723104734709,2.76573767210496e-06,-0.42403802013384,4.09243524240418e-05,cis,Towards UnRx,Pt5,X10,1
5729,TAOK3,ENSG00000135090,-0.712872045803798,2.70262729040507e-07,-0.612724521249712,1.01021903341922e-07,trans,Towards UnRx,Pt5,X10,1
5730,TBC1D1,ENSG00000065882,0.550176616008617,0.000624917545842795,0.693736186947487,7.84711117226955e-09,trans,Towards UnRx,Pt5,X10,1
5731,TBC1D16,ENSG00000167291,0.628637413086656,0.000223698851111706,0.101972012004418,0.51818304212044,trans,Towards UnRx,Pt5,X10,1
5732,TBC1D2,ENSG00000095383,-0.513595756257269,0.00933058322551292,0.306183600865765,0.0728985625841857,trans,Away from UnRx,Pt5,X10,1
5733,TBC1D23,ENSG00000036054,-0.571632942560482,6.60558453900617e-05,-0.646198932912057,4.77892886303708e-08,cis,Towards UnRx,Pt5,X10,1
5734,TBX1,ENSG00000184058,0.60309582192087,0.00271729628685663,0.380985022678406,0.0151330075755724,trans,Towards UnRx,Pt5,X10,1
5735,TBX3,ENSG00000135111,-1.22270863480573,1.11451260417312e-13,-0.308225163754772,0.0556088360532297,trans,Towards UnRx,Pt5,X10,1
5736,TCEA3,ENSG00000204219,-0.609026553904538,7.16414906454986e-05,-0.725353377299783,7.14952293484627e-09,trans,Towards UnRx,Pt5,X10,1
5737,TCEAL8,ENSG00000180964,0.655888143595737,2.35536848677264e-05,0.00694881096895721,0.983702878588043,cis,Towards UnRx,Pt5,X10,1
5738,TDRKH,ENSG00000182134,-0.770007296346298,5.4878566401665e-07,-0.203343522255413,0.202854580952797,cis,Towards UnRx,Pt5,X10,1
5739,TDRP,ENSG00000180190,0.706141258196458,0.000277631048036942,0.876006926109209,4.27655954343667e-09,cis,Towards UnRx,Pt5,X10,1
5740,TEAD1,ENSG00000187079,-0.901333331527693,1.55928044818579e-08,-0.248064858277985,0.123364713201924,trans,Towards UnRx,Pt5,X10,1
5741,TEN1,ENSG00000257949,0.666301521727005,4.91873931263424e-08,0.276712413428472,0.00241607011913625,trans,Towards UnRx,Pt5,X10,1
5742,TEPSIN,ENSG00000167302,0.639778330972011,0.00107014422630956,0.18121970466423,0.307111941474462,trans,Towards UnRx,Pt5,X10,1
5743,TET1,ENSG00000138336,0.74445381342374,0.000218021313209247,0.433894356518617,0.00403209960019588,cis,Towards UnRx,Pt5,X10,1
5744,TEX2,ENSG00000136478,0.760961698776779,2.97959135258424e-05,0.375086448415146,0.0126740414141864,trans,Towards UnRx,Pt5,X10,1
5745,TEX30,ENSG00000151287,0.652449100410717,3.86096362547941e-07,0.910558350151168,3.48706330923669e-19,trans,Towards UnRx,Pt5,X10,1
5746,TFAP2A,ENSG00000137203,0.665986982077311,6.79059186313603e-11,0.0468504344484098,0.653437093549225,cis,Towards UnRx,Pt5,X10,1
5747,TFCP2L1,ENSG00000115112,-0.636408224634286,0.0010680481334954,-0.964406296744722,9.36958691256578e-09,trans,Towards UnRx,Pt5,X10,1
5748,TFF1,ENSG00000160182,-0.698469326987816,0.000657472613832823,0.232973411158519,0.295285315203514,trans,Away from UnRx,Pt5,X10,1
5749,TFG,ENSG00000114354,-0.683215809179179,6.5464673680482e-16,-0.682029361930054,2.70974287112358e-20,cis,Towards UnRx,Pt5,X10,1
5750,TFRC,ENSG00000072274,0.512058391108858,0.000420820043338634,0.497331897162298,9.15126350347182e-06,trans,Towards UnRx,Pt5,X10,1
5751,TGFB1,ENSG00000105329,-0.591775961302951,0.00301300827652216,-0.263294670803875,0.125927073568319,trans,Towards UnRx,Pt5,X10,1
5752,TGFB1I1,ENSG00000140682,1.04580661000376,5.15925856716854e-10,0.725492877562441,4.1089023823075e-08,cis,Towards UnRx,Pt5,X10,1
5753,TGFBR1,ENSG00000106799,0.650356531082953,0.00096483173420218,0.536374599934798,0.000734692143073284,trans,Towards UnRx,Pt5,X10,1
5754,TGIF1,ENSG00000177426,-0.803149036051896,3.57951751499991e-11,0.235023827742613,0.0422330850719595,trans,Away from UnRx,Pt5,X10,1
5755,THAP3,ENSG00000041988,0.560375732726545,0.00292178074229135,0.053489612831718,0.801032631551889,trans,Towards UnRx,Pt5,X10,1
5756,THBS3,ENSG00000169231,-0.554987660584264,7.55173127518464e-05,-0.330383303101613,0.00575318858976963,cis,Towards UnRx,Pt5,X10,1
5757,THEM4,ENSG00000159445,-0.88374906749109,6.51199737192482e-12,-0.685694640174327,1.86590353943219e-09,cis,Towards UnRx,Pt5,X10,1
5758,THOC6,ENSG00000131652,0.537094587560601,0.00231284378569467,-0.00888603638607167,0.987490266830929,trans,Away from UnRx,Pt5,X10,1
5759,THUMPD1,ENSG00000066654,0.508641677971523,0.000333395087304558,0.00547618418346298,0.985977638307794,cis,Towards UnRx,Pt5,X10,1
5760,TIMM23B,ENSG00000204152,0.506417342805626,0.00667129196598493,0.0869562874726276,0.614757764753056,trans,Towards UnRx,Pt5,X10,1
5761,TIMMDC1,ENSG00000113845,-0.526130411525834,2.18921090659802e-09,-0.262925981247463,0.000892152011897577,cis,Towards UnRx,Pt5,X10,1
5762,TIMP2,ENSG00000035862,1.47471971919132,5.91639251032696e-22,0.737223895411876,2.00662856819901e-09,trans,Towards UnRx,Pt5,X10,1
5763,TINCR,ENSG00000223573,0.92073678952563,3.26041954630902e-22,0.816865789275641,2.45668651868625e-28,trans,Towards UnRx,Pt5,X10,1
