gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
ARNTL2,ENSG00000029153,0.629252003063836,1.06563095466825e-05,0.695036217017374,7.82247436619396e-05,trans,Towards UnRx
ARPC5,ENSG00000162704,0.600307852283604,1.58262350142839e-13,-0.0481793607437121,0.702819333407689,trans,Away from UnRx
ASCL2,ENSG00000183734,-0.541125558849205,0.00154976157520816,-1.37138887788716,1.18614630108149e-16,trans,Towards UnRx
ASH2L,ENSG00000129691,0.569602446507108,2.87031391269267e-05,-0.421027083474057,0.00459935610574458,cis,Away from UnRx
ASXL2,ENSG00000143970,0.636310843882774,7.63032681789981e-07,0.194140631851195,0.284431286524037,trans,Towards UnRx
ASZ1,ENSG00000154438,0.524866137690128,0.0025898820346679,0.458902545498266,0.0567084783453353,cis,Towards UnRx
ATAD2,ENSG00000156802,0.583329637278719,6.1272961097796e-05,1.14416984553781,7.50630798060465e-10,trans,Towards UnRx
ATAD5,ENSG00000176208,0.503575537257245,0.00157568542694673,0.641885327233744,0.00147443942905099,trans,Towards UnRx
ATL2,ENSG00000119787,0.754883825206418,6.0826971453426e-16,0.709869647068757,1.07462669317163e-10,trans,Towards UnRx
ATP1B1,ENSG00000143153,0.620951378258012,5.70896527636876e-06,0.254781300184789,0.127284217112968,trans,Towards UnRx
ATP8B1,ENSG00000081923,0.560293214725193,0.000133112571798159,0.740895487084944,5.8760199777364e-05,trans,Towards UnRx
ATP9A,ENSG00000054793,0.580335939871857,0.000251983334550897,0.281979036894493,0.187765192710485,trans,Towards UnRx
ATRN,ENSG00000088812,0.522192428027181,0.000463751865589093,0.183515103114259,0.448285891539741,trans,Towards UnRx
AUP1,ENSG00000115307,-0.529914694232454,1.02761114313638e-09,-0.247233097740502,0.0346880750522567,trans,Towards UnRx
B4GALT1,ENSG00000086062,0.515429701391909,0.000170954652617545,0.200217137087372,0.285591045604724,trans,Towards UnRx
BAG3,ENSG00000151929,0.548153077560652,0.000108082538886692,-0.314375241249245,0.0528870513863932,trans,Away from UnRx
BANF1,ENSG00000175334,-0.514952444465107,2.53730027107811e-14,-0.213608002798689,0.0164016638375297,trans,Towards UnRx
BARD1,ENSG00000138376,0.507985991701226,0.000372363605668378,0.0851827118778968,0.685457707453056,trans,Towards UnRx
BBC3,ENSG00000105327,-0.621688818910381,0.000118718593137474,-0.0987097727097852,0.681576588038209,trans,Towards UnRx
BIK,ENSG00000100290,-0.541073058915191,8.54964777272431e-05,0.439900897503931,0.0224434708744875,trans,Away from UnRx
BIRC3,ENSG00000023445,0.700901200880811,0.000233735686000212,0.672427851403389,0.00243569314626045,trans,Towards UnRx
BIRC5,ENSG00000089685,-0.508058352147082,0.00141361037806002,0.792309146907644,0.000206842563477288,trans,Away from UnRx
BIRC6,ENSG00000115760,0.544173495977184,1.54860590203188e-07,0.171578716127078,0.210169982505697,trans,Towards UnRx
BMP6,ENSG00000153162,0.632626876995941,1.45283060817485e-07,0.261520536537298,0.0809837031886109,trans,Towards UnRx
BNIP3,ENSG00000176171,-0.696744838637769,2.14411491666054e-08,-1.13981553203779,1.35785748067758e-16,trans,Towards UnRx
BPGM,ENSG00000172331,0.65928775118459,3.24668758794583e-05,0.478512914593719,0.0150408933265201,cis,Towards UnRx
BPIFB1,ENSG00000125999,1.15718534052324,1.08039141303632e-07,1.65219526338241,2.9097655306286e-09,trans,Towards UnRx
BRCA2,ENSG00000139618,0.863828928533519,1.46131568836758e-07,0.662156528363528,0.00141383804085874,trans,Towards UnRx
BRD2,ENSG00000204256,0.58316979988964,1.80530697047683e-09,-0.213154779621002,0.0649766054846696,cis,Away from UnRx
BRD7,ENSG00000166164,-0.563686595658192,8.55180775605165e-08,-0.134876099840492,0.411289494307475,trans,Towards UnRx
BROX,ENSG00000162819,0.526182104921964,9.6971317261797e-07,-0.0825162120648694,0.606831519550232,trans,Away from UnRx
BST1,ENSG00000109743,0.732037553072704,1.83648279222998e-05,-0.0437897438353816,0.855417232445763,trans,Away from UnRx
BTG2,ENSG00000159388,0.836352453689877,6.67265493749837e-07,0.390299490838738,0.054761016746918,trans,Towards UnRx
C17orf51,ENSG00000212719,0.656218138631778,0.000223496097954102,0.0966737301499014,0.789705283854759,trans,Towards UnRx
C1orf116,ENSG00000182795,0.519392503519245,2.66077506726055e-06,0.760652828443681,3.3449644542007e-08,trans,Towards UnRx
C1orf21,ENSG00000116667,0.67173513413913,2.61358111575801e-05,-0.212988342303791,0.324311120554519,trans,Away from UnRx
