gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,F,G,H,I,J,ct,col,label,color
ABHD5,0.825642887938459,7.36433252304237,59.9646609753728,7.59645878489614e-14,2.62237906712315e-12,ENSG00000011198,0.225674253535692,7.73264419442313,6.97230994044353,0.00842548846302246,0.0245927619323364,ENSG00000011198,5,4,4,4,5,NA,5,4,5,5,trans,TRUE,Towards UnRx trans,deepskyblue
ABHD8,-0.541608568737048,6.05215789617739,9.42246626226924,0.00237793727091157,0.00849532704635737,ENSG00000127220,-0.115329957282223,6.53312957594795,0.657833868206181,0.459464158282612,0.59049170632242,ENSG00000127220,4,3,3,4,4,4,4,4,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
ABTB1,-0.811609205119067,5.96358985412268,19.5626265633651,7.90789589514267e-05,0.000453822560606595,ENSG00000114626,-0.94117825832419,6.57499501743157,36.562169856759,6.30162820462129e-08,7.15231063603991e-07,ENSG00000114626,NA,3,3,5,5,5,5,5,5,5,unkn,TRUE,0,0
AC019171.1,-0.67026778231721,5.89466010330609,12.2802987567433,0.00186473923388941,0.0069141154310056,ENSG00000269210,-0.643612608962612,6.48793974446992,19.8612477329472,0.000173287448385761,0.000869435923521219,ENSG00000269210,4,3,3,4,4,4,4,4,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
ACAD8,0.742749508702731,5.99315487122169,17.9738912208677,4.18902773695085e-05,0.000260318720274366,ENSG00000151498,0.222736211189198,6.57204341449365,2.7075666514541,0.125174214306088,0.219293706275736,ENSG00000151498,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ACAP3,-0.681344495038299,6.35415609470608,19.1078359199775,1.56682919638147e-05,0.000109096839717133,ENSG00000131584,-0.12381340562309,6.69612533331865,0.832984878101226,0.361662123472166,0.494928972055531,ENSG00000131584,3,4,4,4,3,4,4,4,NA,3,cis,TRUE,Towards UnRx cis,deepskyblue4
ACO1,0.750103430140806,5.89933691438708,16.4574343142745,0.000328385992092273,0.00157632274307479,ENSG00000122729,0.420672240317408,6.47904116152367,9.603318648041,0.00987597794075758,0.0279400818856205,ENSG00000122729,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ACP2,-0.687830857453134,6.0338653069625,14.4530055169582,0.000421804929949466,0.00194995506354268,ENSG00000134575,-0.455255783520704,6.55601134449052,9.16197903952325,0.00895825317405101,0.0258092641882927,ENSG00000134575,3,3,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ACSL3,1.08444520689231,6.70485164032249,60.6855630083799,5.51973572169763e-14,1.98931275409983e-12,ENSG00000123983,0.902996693294786,7.00388740961586,60.9897449489996,1.63763903018225e-14,5.38451211023497e-13,ENSG00000123983,3,5,5,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ACSS1,0.832243906258383,6.03022161392446,20.1198940975928,9.45130252254992e-06,6.98001932198154e-05,ENSG00000154930,0.185009583785742,6.61445760145562,1.73346807884217,0.188313193958021,0.301502784436136,ENSG00000154930,3,3,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ACTB,-0.706956536943869,11.7671494738512,54.7169405886663,7.89717267841358e-13,2.37178419441688e-11,ENSG00000075624,-0.771100007168636,12.0169588448152,134.51217744478,4.94576239032348e-29,7.51127850009763e-27,ENSG00000075624,NA,5,5,6,NA,5,6,6,6,6,unkn,TRUE,0,0
ACTG1,0.839954410597232,11.1292016456272,83.1099912839352,3.46937038711582e-18,2.36810812029648e-16,ENSG00000184009,0.475694417360665,11.138756497058,61.2487915449279,1.44812374781728e-14,4.81098889552631e-13,ENSG00000184009,3,3,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ACTR1A,-0.777212094133814,6.1229363679631,21.2513069844621,1.75440675400137e-05,0.000120573644954633,ENSG00000138107,-0.493734374183745,6.60350416999269,11.6919820470372,0.00147603564143315,0.00554484060354629,ENSG00000138107,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ADAM8,-0.825748607157247,6.28908775025549,24.409898603232,1.13525481476316e-06,1.06548394593917e-05,ENSG00000151651,-0.877344745550997,6.81336307044165,35.9353416783044,2.97938519953852e-09,4.39919098598527e-08,ENSG00000151651,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ADAMTS1,0.892299196939571,6.09916739665157,20.5554990259514,7.60852882672958e-06,5.76074325452382e-05,ENSG00000154734,1.09269809260832,6.53476613611398,58.3050297667875,5.87295313962799e-14,1.81265856903099e-12,ENSG00000154734,3,4,4,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
ADCK2,-0.761675064562683,6.35393796944991,23.4524951994216,1.81617546755429e-06,1.61856982815669e-05,ENSG00000133597,-0.637377057319007,6.80189500629795,21.3814490654785,4.33102773331184e-06,3.30984611440317e-05,ENSG00000133597,5,4,4,5,NA,NA,6,4,NA,NA,cis,TRUE,Towards UnRx cis,deepskyblue4
ADCK5,0.752083664880825,5.97968985228202,17.4575499660171,6.00948111139288e-05,0.000356454409569781,ENSG00000173137,0.364484745890502,6.53862027041518,7.10121131084929,0.0201987114405263,0.0506052032110385,ENSG00000173137,NA,4,4,4,NA,NA,NA,NA,NA,NA,unkn,TRUE,0,0
ADD2,1.1820498773225,6.02178982303994,41.4499758521833,3.37734137213638e-10,6.64407112728138e-09,ENSG00000075340,0.437088025712569,6.60022041108246,9.73035135362123,0.00203311274664058,0.00733515187023267,ENSG00000075340,4,4,4,4,4,4,4,4,4,4,trans,TRUE,Towards UnRx trans,deepskyblue
