gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
CMSS1,ENSG00000184220,-0.651355029867348,0.000922970963265578,-0.112734996031126,0.392881563892877,cis,Towards UnRx
COA6,ENSG00000168275,0.61528669382588,0.000270539273411236,0.365920150168826,7.82259311758857e-06,trans,Towards UnRx
COL9A2,ENSG00000049089,-1.18125334471505,1.0221073559158e-05,-0.884671725118095,2.77290469894848e-07,cis,Towards UnRx
COPS5,ENSG00000121022,0.685285465848445,0.00483728489353358,0.0654452787378094,0.647434506933836,trans,Towards UnRx
CORO2A,ENSG00000106789,-0.991109316657234,0.000179239998714474,-0.644751973264639,0.000343239515387977,trans,Towards UnRx
COTL1,ENSG00000103187,1.1160151220083,0.000157129919298809,0.603467446707786,2.15031346098793e-05,trans,Towards UnRx
COX17,ENSG00000138495,-1.05293759519357,2.57893666645582e-10,-0.714984052513831,3.48481794232654e-15,cis,Towards UnRx
COX19,ENSG00000240230,-0.698505784270867,0.00516589130133691,-1.06637116510791,7.36687874396499e-16,cis,Towards UnRx
CPSF1,ENSG00000071894,-0.61242441912366,0.00770484388734465,0.23616759760912,0.11302815713449,trans,Away from UnRx
CREBZF,ENSG00000137504,0.805828300960095,0.00110661064872998,1.08145293113316,6.73867393036341e-22,trans,Towards UnRx
CREG1,ENSG00000143162,1.13296351269944,1.93458777863815e-08,0.0597701562019781,0.646927724379148,trans,Towards UnRx
CRYAB,ENSG00000109846,1.46666285071419,3.96690512760312e-08,0.224796082990034,0.0799056047651507,trans,Towards UnRx
CRYL1,ENSG00000165475,0.808459875991248,0.006258866973262,0.186514970005991,0.270654259007954,trans,Towards UnRx
CSRNP1,ENSG00000144655,-0.986134641635533,9.04961844258724e-05,-0.790524284727505,1.35081450539743e-06,trans,Towards UnRx
CTDNEP1,ENSG00000175826,-0.631733478395373,0.00100910940685106,-0.734966792149411,4.10674888511519e-13,trans,Towards UnRx
CTSD,ENSG00000117984,-0.516320281232572,0.00540181412391509,-0.514790473681175,1.37370628800507e-09,trans,Towards UnRx
CTSZ,ENSG00000101160,0.565826611086094,0.00492894346639309,-0.0572807477460775,0.632835784458939,trans,Away from UnRx
CUL7,ENSG00000044090,-1.11397667301574,1.14656048141386e-05,-0.604565871572048,0.000478897242649745,cis,Towards UnRx
CX3CL1,ENSG00000006210,-1.19857212399997,1.12091162881671e-05,-1.07716363760739,2.53815936576335e-09,trans,Towards UnRx
CXADR,ENSG00000154639,-0.925091681746437,3.71541070328469e-06,1.43921922911575,1.63820357960025e-44,cis,Away from UnRx
CXCL10,ENSG00000169245,1.42932355462526,0.00048622197657998,-1.77542425506008,7.63474902570163e-11,trans,Away from UnRx
CYB5A,ENSG00000166347,0.693439122832223,3.23725440682588e-05,0.937001359567916,7.2497322258781e-26,cis,Towards UnRx
DBI,ENSG00000155368,0.712774531396059,1.95445900669416e-05,0.239387021490976,0.00343277331958724,trans,Towards UnRx
DDIT4,ENSG00000168209,1.57677589728481,2.603056623578e-07,1.56730437991417,1.07084796755659e-29,trans,Towards UnRx
DDX21,ENSG00000165732,-0.508435318994065,0.00132289984574613,-0.185804358792453,0.0277552704046332,trans,Towards UnRx
DEGS1,ENSG00000143753,1.025109071093,2.7110400313473e-06,0.236188561349988,0.0468767176309481,trans,Towards UnRx
DERA,ENSG00000023697,0.680484442616723,0.00785082531022125,-0.218809729304873,0.0845666255309766,trans,Away from UnRx
DGAT1,ENSG00000185000,-0.755020124132485,0.00215041403995183,-0.0810715907400019,0.687358580770129,trans,Towards UnRx
DIMT1,ENSG00000086189,0.8180406200212,0.00393790550623289,0.0778910640855595,0.676741589024435,trans,Towards UnRx
DMAC1,ENSG00000137038,-0.65579719036777,0.000472040761475312,-0.0791421467431919,0.576143437488311,trans,Towards UnRx
DNAJB1,ENSG00000132002,0.632579442551855,0.00951217247519619,1.45725996223543,1.26985621761334e-47,trans,Towards UnRx
DNAJB4,ENSG00000162616,1.68751147307364,1.21324774666409e-07,1.14232261430887,4.54037608580222e-15,cis,Towards UnRx
DNAJC9,ENSG00000213551,0.632605758071931,0.00389190149472355,0.460507275401946,4.5920569730567e-05,trans,Towards UnRx
DNMT1,ENSG00000130816,0.5641803906069,0.00827689629415968,0.588520749922997,1.66361522875092e-08,trans,Towards UnRx
DPM3,ENSG00000179085,-0.847483278823289,2.94459223940017e-05,-0.631654347650567,2.22462674304608e-07,trans,Towards UnRx
DSC2,ENSG00000134755,0.792795697367125,0.000416042449333202,0.301700072924987,0.00520028292913132,trans,Towards UnRx
DSC3,ENSG00000134762,0.8715140094321,0.00104431549183332,0.536838162858297,5.06994724263706e-05,trans,Towards UnRx
DSE,ENSG00000111817,0.892395134158628,0.00228315908479102,0.0986733201959904,0.601452151106101,trans,Towards UnRx
DST,ENSG00000151914,2.47545221134798,2.44315436701039e-14,1.3271496556175,2.45124535925677e-20,trans,Towards UnRx
DUT,ENSG00000128951,0.673056042771023,0.00404098289417838,0.101456177832778,0.424369914476955,trans,Towards UnRx
E2F8,ENSG00000129173,0.908226789230795,0.00343883477317539,0.823700255467764,4.68093557907141e-07,trans,Towards UnRx
ECI2,ENSG00000198721,1.05161274394574,0.000168147349193028,0.741825701478671,3.63312575052026e-07,trans,Towards UnRx
ECSIT,ENSG00000130159,-0.633674803075476,0.00482579683852029,-0.498731052949887,0.000223932253612825,trans,Towards UnRx
EFTUD2,ENSG00000108883,-0.623003953892381,0.00639231550412812,-0.122557790840635,0.481473747339907,trans,Towards UnRx
EHF,ENSG00000135373,0.697348350787208,0.000741159542498621,1.18735925089638,3.73400450537646e-29,trans,Towards UnRx
EID1,ENSG00000255302,0.838986964609464,3.25517869428193e-05,0.474880508779558,2.72979328340597e-06,trans,Towards UnRx
EIF3B,ENSG00000106263,-0.898839070557533,1.15425228008022e-07,-1.09629501711039,5.68469489582025e-37,cis,Towards UnRx
EIF3H,ENSG00000147677,-0.590109636854288,0.000104593065281295,0.0803750587592795,0.417140146478463,trans,Away from UnRx
ELF5,ENSG00000135374,1.36553255077381,1.88260665804725e-07,1.01074755009765,1.85920588160969e-15,trans,Towards UnRx
ELOB,ENSG00000103363,-0.997797536074149,2.16042423071947e-14,-0.665700805724741,3.10392974400602e-21,cis,Towards UnRx
ENC1,ENSG00000171617,-1.25783985184457,1.87826410456725e-06,-0.219309842568828,0.283113294282503,trans,Towards UnRx
ENDOD1,ENSG00000149218,0.847862206276083,0.00395123944804969,0.285888474098297,0.0861080753170564,trans,Towards UnRx
EPB41L1,ENSG00000088367,-0.717855158868341,0.00708692473161928,0.0169465511938317,0.935238085178342,trans,Away from UnRx
EPB41L2,ENSG00000079819,1.07101564565324,0.000441821939978668,0.0189640133079794,0.929362036042245,trans,Towards UnRx
EPCAM,ENSG00000119888,0.558848691782876,7.17212093182439e-06,0.308552933484883,1.5496991990303e-06,trans,Towards UnRx
ETAA1,ENSG00000143971,0.830343035188227,0.00813324240342016,0.551695927566619,0.00177616788325329,trans,Towards UnRx
EVA1B,ENSG00000142694,-0.711501027461063,0.00735658974480286,-0.296029827690342,0.101621905413896,cis,Towards UnRx
FABP5,ENSG00000164687,1.40862667083372,8.24815672702572e-09,1.17815152685139,5.96010172057681e-24,trans,Towards UnRx
FAIM,ENSG00000158234,0.746666709001478,0.00670187811318272,0.578657372215912,3.20769018931493e-05,trans,Towards UnRx
FAM111B,ENSG00000189057,1.47010965331433,1.64926995807409e-05,0.678926533026263,0.00011935682384091,trans,Towards UnRx
FAM129A,ENSG00000135842,-0.623158084050756,0.00739328224914094,-0.209232764559773,0.179678424727208,trans,Towards UnRx
FAM20C,ENSG00000177706,-0.773649125036298,0.00483728489353358,-1.4891904182137,2.81963193475107e-20,cis,Towards UnRx
FAM83H,ENSG00000180921,-0.746638584182794,0.000976510938603229,-0.2089544958679,0.187159721768406,trans,Towards UnRx
FAM84A,ENSG00000162981,1.03266730396243,0.000691673444860911,0.555734669724761,0.000434835700946349,cis,Towards UnRx
FAM84B,ENSG00000168672,-1.03890405215402,6.29988794449615e-05,-0.0907632957920483,0.661474947906062,trans,Towards UnRx
FASN,ENSG00000169710,-0.869414753252398,9.53635888341224e-06,-0.728683313939667,2.7325603932699e-09,trans,Towards UnRx
FBRS,ENSG00000156860,-0.737318266079014,0.0045374154083384,-0.349977009086955,0.030107244039143,trans,Towards UnRx
FBXO2,ENSG00000116661,1.1932400933871,7.30102663080986e-05,0.633661083544933,2.36337470611207e-05,trans,Towards UnRx
FBXO22,ENSG00000167196,0.792784602133907,0.00030068322428898,0.594260261191222,1.05082782372585e-07,trans,Towards UnRx
FBXO5,ENSG00000112029,0.818290915330349,0.00770484388734465,0.7294652453119,7.36497223207019e-06,trans,Towards UnRx
FBXW11,ENSG00000072803,-0.795919400553506,0.00483728489353358,-0.150241590605584,0.41702299554503,trans,Towards UnRx
FEN1,ENSG00000168496,0.899696334006471,0.00351747821917852,0.0829599851982081,0.691588178788024,trans,Towards UnRx
FIGNL1,ENSG00000132436,0.818815973592122,0.009433729461832,0.526344393693271,0.000677140328810948,cis,Towards UnRx
FKBP3,ENSG00000100442,0.604192055479515,0.00840486688006588,0.401065326833918,0.000323898372145152,trans,Towards UnRx
FLOT2,ENSG00000132589,-0.704284317808433,0.00485947052780286,-0.290658433409816,0.0768385121379066,trans,Towards UnRx
FNBP1,ENSG00000187239,-0.687638202731694,0.00675200857499772,0.455145057051496,0.00300433682843434,trans,Away from UnRx
FNBP1L,ENSG00000137942,0.769108092841077,0.00235627168045549,-0.133237534143743,0.349273012559595,cis,Away from UnRx
FNDC3B,ENSG00000075420,-0.772943550194936,0.00614730346912464,-0.168369510166285,0.350773639705807,trans,Towards UnRx
FSTL1,ENSG00000163430,-0.751820371753973,0.00666069064942768,-0.586857426415162,0.000833908949632214,cis,Towards UnRx
FTX,ENSG00000230590,0.936059303315388,0.00308247832615502,1.24105516829755,6.86286593039093e-17,cis,Towards UnRx
FXYD5,ENSG00000089327,-0.7134446326772,0.000107873673343183,-1.16139703367571,2.79865689387211e-32,trans,Towards UnRx
GABRE,ENSG00000102287,0.903679384977243,0.00202144403945807,1.05050285210944,1.08813277536746e-13,cis,Towards UnRx
GAL,ENSG00000069482,0.747538386305636,0.00323089096247797,0.393873352112757,0.000604651527771274,trans,Towards UnRx
GALNT3,ENSG00000115339,0.617016711411459,0.00464354089436071,0.385876790317671,0.000613622396687897,trans,Towards UnRx
GARS,ENSG00000106105,-0.698899253374437,0.00123756778796331,-0.631753191213317,3.26291794759519e-08,cis,Towards UnRx
GEN1,ENSG00000178295,0.933760543390651,0.00255494287807463,0.763023565210764,4.62346826722737e-07,cis,Towards UnRx
GGPS1,ENSG00000152904,0.647535349950845,0.00236092814056608,0.524165058590445,1.02361667232204e-06,trans,Towards UnRx
GLRX5,ENSG00000182512,0.551971833360989,0.00264552696848021,0.283817823683015,0.00173986033886681,trans,Towards UnRx
GMPS,ENSG00000163655,0.584076310433254,0.00667544762992385,0.33445171892839,0.00236933512557907,trans,Towards UnRx
GOLGA8A,ENSG00000175265,1.11975735706522,0.000909336361533141,0.980742299408704,1.1707493568002e-09,trans,Towards UnRx
GPAA1,ENSG00000197858,-0.574307951354635,0.00118844648653314,-0.188603833214496,0.0716630185864831,trans,Towards UnRx
GPAT3,ENSG00000138678,1.48145766802469,1.18166226522852e-06,0.484014735249366,0.00145317248161279,trans,Towards UnRx
GPD1L,ENSG00000152642,-0.810115286966143,0.00187425429727997,-0.535493739883318,0.00317057595621515,trans,Towards UnRx
GPM6B,ENSG00000046653,0.817311044861034,0.00991742778930006,0.619907969367834,0.000394568224247448,cis,Towards UnRx
GPR160,ENSG00000173890,-1.18415779077155,9.78171412198439e-08,-0.139027626539375,0.451459936648977,trans,Towards UnRx
GPRC5A,ENSG00000013588,-0.733914577622775,0.00320257908082419,0.935479910113669,1.41029228971734e-11,trans,Away from UnRx
GPRC5B,ENSG00000167191,-0.705505042294565,0.00635028476860547,-0.325785502147135,0.054507302508631,trans,Towards UnRx
GRINA,ENSG00000178719,-0.8555369417116,5.18732070814142e-05,-0.642279090436728,1.47173087741598e-06,trans,Towards UnRx
GRK2,ENSG00000173020,-0.821359673960771,0.000997803178836026,-0.237370923396203,0.170965917185603,trans,Towards UnRx
GSTM3,ENSG00000134202,-0.70765622211151,0.0039778004428754,-2.01564884529354,1.65897457864427e-41,cis,Towards UnRx
GSTO1,ENSG00000148834,0.739380627409565,0.00103431365919116,0.574951692910527,1.93261479306247e-07,trans,Towards UnRx
GTF3C6,ENSG00000155115,0.546845787442873,0.000311444925089443,0.376180473557989,1.91440292627906e-07,trans,Towards UnRx
H2AFZ,ENSG00000164032,0.642596625931662,0.00139820325490684,0.45015385753407,9.84321112848968e-07,trans,Towards UnRx
HAT1,ENSG00000128708,0.971028369502714,7.70716780677744e-05,0.30489602504813,0.0141276202477358,trans,Towards UnRx
HCFC1R1,ENSG00000103145,-0.705753163583705,0.00558582547249788,-0.874305947158855,1.71468227075125e-09,cis,Towards UnRx
HDAC7,ENSG00000061273,-1.08767210778418,6.56748888680374e-06,-0.44714708933972,0.00758311945932249,trans,Towards UnRx
HELLS,ENSG00000119969,0.822507569198761,0.00670187811318272,0.887931076059515,6.22100633689801e-10,trans,Towards UnRx
HERPUD1,ENSG00000051108,-0.643997759460912,0.00917292404499203,-0.778598798031053,5.4127392634672e-08,trans,Towards UnRx
HGSNAT,ENSG00000165102,-1.04933404621777,1.22396980203705e-06,-0.610221968690815,1.24296386046777e-05,cis,Towards UnRx
HIST1H1A,ENSG00000124610,0.992415648005183,0.00670187811318272,1.16823222552203,4.14578437182612e-12,trans,Towards UnRx
HIST1H4C,ENSG00000197061,-0.860626193590734,0.00325502539327743,-0.532318799004345,0.00306854605145443,trans,Towards UnRx
HMGB1,ENSG00000189403,0.52132736931888,0.00215769443302806,0.710020618758673,9.25943943639542e-21,trans,Towards UnRx
HMGCS1,ENSG00000112972,0.939342875088982,0.000543888800661758,1.10666505792802,1.0181922452881e-19,trans,Towards UnRx
HMGN3,ENSG00000118418,1.38813225948736,4.23530991211128e-12,0.403751734949004,3.48074860786024e-06,trans,Towards UnRx
HNRNPA3,ENSG00000170144,0.796901910264148,3.96690512760312e-08,0.913728492756391,2.13563721670758e-44,trans,Towards UnRx
HNRNPR,ENSG00000125944,0.605163900365016,0.000515613635383186,0.540820557452632,6.78858741983992e-10,trans,Towards UnRx
HNRNPUL1,ENSG00000105323,-0.592646821005515,0.00115880551769995,-0.118940272292362,0.322583687840698,trans,Towards UnRx
HPRT1,ENSG00000165704,0.683231048782622,0.00614730346912464,0.125201925846958,0.40920259873844,cis,Towards UnRx
HSF1,ENSG00000185122,-0.605840714986876,0.00145272088840039,-0.313190092271526,0.00437290101753425,trans,Towards UnRx
HSP90AA1,ENSG00000080824,0.60831048435303,2.34477303553956e-05,0.763348040198671,1.94975774002865e-36,trans,Towards UnRx
HSPA1A,ENSG00000204389,0.90860459444836,0.000472040761475312,1.32564272534557,1.83929063424248e-39,cis,Towards UnRx
HSPA4L,ENSG00000164070,0.823695766502332,0.00597342971369421,0.608833165893152,0.000124792200446602,trans,Towards UnRx
HSPD1,ENSG00000144381,0.543873806470755,0.000531835485883618,0.727874222957913,4.52791870679651e-23,trans,Towards UnRx
HSPH1,ENSG00000120694,0.795710105918679,0.000237700557628896,1.3220965126052,4.00013171769921e-45,trans,Towards UnRx
ICE1,ENSG00000164151,0.878572602371661,0.000341612472046797,0.698493353529913,4.7786845606029e-08,trans,Towards UnRx
