gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,cnchange.x,color.x,mlog10FDR.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,cnchange.y,color.y,mlog10FDR.y,A,B,C,D,E,F,G,H,I,J,K,ct,col,label,color
KLF9,-0.867437421689129,6.68944035293714,20.0468493263036,1.00327854690712e-05,5.65603757230174e-05,ENSG00000119138,0.02753533192895,blue,4.24748771424137,-0.567311185112858,6.66969381237062,11.4270394510838,0.000771594987989355,0.0023272177671287,ENSG00000119138,0,black,2.63316297612998,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
KLHDC10,-0.529265373607622,7.04380731519959,12.0025060533755,0.00059250631047128,0.00216488390608988,ENSG00000128607,-0.8617831026748,blue,2.66456538813113,-0.428065758508245,7.06147068981824,9.12383248319647,0.00263208358156416,0.00699550003190566,ENSG00000128607,0,black,2.15518123709267,3,3,3,3,3,3,4,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
KMT2E,-0.674773426972118,7.47731162454362,25.5467730528628,6.75380551597466e-07,4.8801285006287e-06,ENSG00000005483,-0.96047346962195,blue,5.31156874226384,-0.863947089582193,7.64817880638171,50.0926055678526,4.17406197453497e-12,4.68598487520621e-11,ENSG00000005483,-1,blue,10.3291991174943,3,3,3,3,3,3,3,NA,3,3,3,unkn,TRUE,0,0
KRIT1,0.639660306032381,6.57438363202846,14.2471397296807,0.000343101011576025,0.00133931793005347,ENSG00000001631,0.013968350240634,blue,2.87311631702962,0.918777008411082,6.53135327960758,41.1529945354553,1.57827093902248e-09,1.29945251819696e-08,ENSG00000001631,0,black,7.88623958492926,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
LAPTM4B,-0.505161188283418,8.6794440654406,21.3266101888553,5.32514416897856e-06,3.16809268301904e-05,ENSG00000104341,0.14868212577176,blue,4.49920212154752,-0.489130573455184,8.7332349884546,27.6431406231645,2.04193956837496e-07,1.23214932375889e-06,ENSG00000104341,0,black,5.90933665698106,4,4,NA,NA,3,NA,3,3,NA,NA,3,trans,TRUE,Towards UnRx trans,deepskyblue
LDHA,-0.963184303190522,10.7011877170257,54.1234562751198,1.19095560045647e-12,2.00983487606446e-11,ENSG00000134333,-0.0713088019363499,blue,10.696839621863,-1.29796271041269,11.1030126314371,122.269681807649,5.81266095057002e-26,1.82581254241878e-24,ENSG00000134333,0,black,23.7385438138621,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
LINC01003,-0.950146077069929,6.66065769116952,24.9116033754634,1.05144937990281e-06,7.29946913725788e-06,ENSG00000261455,-1.1185995595341,blue,5.13670872332378,-0.869557920506592,6.69535370066997,24.4284158708045,1.00601876946677e-06,5.38343299506954e-06,ENSG00000261455,0,black,5.26894068802627,1,1,1,1,1,1,2,1,2,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
LMO2,1.20627358931742,6.63419481244584,37.0185139188996,2.88195092974104e-09,3.08763373468522e-08,ENSG00000135363,-0.0413511238195001,blue,7.51037422272726,0.707980632066036,6.6671637470713,19.091365730337,1.47201639052804e-05,6.34461199902404e-05,ENSG00000135363,0,black,4.19759493177813,3,3,3,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
LONRF1,-0.788643688460195,6.67884928557011,20.6930662095747,1.07096980775155e-05,5.99836018137637e-05,ENSG00000154359,0.1228803784939,blue,4.22196745986896,-0.787172704789539,6.73466730527933,22.995754940636,2.05773818186474e-06,1.04273892840129e-05,ENSG00000154359,0,black,4.98182441271181,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
LRRC8A,-0.638702454589278,6.64741900810593,11.1912400430039,0.000904552159182963,0.00314222274548987,ENSG00000136802,-0.06830642650102,blue,2.50276303199232,-0.485970363741841,6.65073924738239,8.45312112139161,0.0037809937599651,0.00969507262130275,ENSG00000136802,0,black,2.01344893347409,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
