,gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction,patient,passage,group
105,ANKS1A,ENSG00000064999,0.173879209675761,0.225537681031773,0.851416319824443,3.3890010256473e-55,cis,Activated,Pt4,X5,1
106,ANKZF1,ENSG00000163516,0.0634568790271782,0.772532802530219,0.863424428015201,1.44537314036251e-47,trans,Activated,Pt4,X5,1
107,ANLN,ENSG00000011426,0.174869132151043,0.310662276507174,0.853998907593275,2.29314826013386e-41,cis,Activated,Pt4,X5,1
108,ANOS1,ENSG00000011201,-0.172843952888756,0.336941982775078,-0.780033527548988,7.44615888203997e-38,trans,Repressed,Pt4,X5,1
111,AP1G1,ENSG00000166747,0.242985398628189,0.102465266888374,0.505966032306243,1.7190192488667e-19,trans,Activated,Pt4,X5,1
112,AP2A1,ENSG00000196961,0.0678888511328965,0.691408958037216,0.589953971304433,1.65658108123851e-25,cis,Activated,Pt4,X5,1
113,AP2B1,ENSG00000006125,-0.0168523789266345,0.908526351083438,-0.619116044212231,3.47082403618021e-65,trans,Repressed,Pt4,X5,1
114,AP3S2,ENSG00000157823,0.167516757681896,0.327996089471928,0.519223033743605,9.50776645733474e-17,cis,Activated,Pt4,X5,1
115,APAF1,ENSG00000120868,0.0636347419216902,0.716135652153807,0.587780334531804,6.58650044514516e-20,trans,Activated,Pt4,X5,1
116,APC,ENSG00000134982,0.0819094286303534,0.632471629107897,0.594027375375441,7.10071909447309e-27,trans,Activated,Pt4,X5,1
117,APOE,ENSG00000130203,0.0455593789405741,0.792213549153655,2.30472906254053,9.99119490740717e-259,cis,Activated,Pt4,X5,1
118,APOLD1,ENSG00000178878,-0.168939329270413,0.381684812212662,-0.552529227624374,5.19572869939751e-18,cis,Repressed,Pt4,X5,1
119,APPBP2,ENSG00000062725,0.000533174567422649,0.999218694672335,0.789454375607719,2.01457174097402e-52,cis,Activated,Pt4,X5,1
120,APTR,ENSG00000214293,0.123753758458525,0.61588759371617,0.675126218717595,1.8431273461115e-23,cis,Activated,Pt4,X5,1
121,ARCN1,ENSG00000095139,-0.0401751681513215,0.793462529442124,0.957955103727605,2.42571902814628e-81,cis,Activated,Pt4,X5,1
122,ARF5,ENSG00000004059,0.0342597065193082,0.755093611667915,2.29519568628084,0,cis,Activated,Pt4,X5,1
123,ARFGAP1,ENSG00000101199,0.0506419434819324,0.775485930224824,0.628549952284491,1.03183298090995e-29,cis,Activated,Pt4,X5,1
124,ARFGAP2,ENSG00000149182,-0.0222676013292325,0.893197012069272,1.26012714007958,7.98053382541909e-133,cis,Activated,Pt4,X5,1
125,ARFGAP3,ENSG00000242247,0.12837827458617,0.385609641037069,0.782738164485932,1.19073511511997e-46,trans,Activated,Pt4,X5,1
126,ARFGEF3,ENSG00000112379,-0.0169599345732599,0.924185532859804,1.0079042753151,4.19846202582776e-63,cis,Activated,Pt4,X5,1
127,ARFRP1,ENSG00000101246,-0.0261045238304684,0.875613693102153,1.00340545200455,6.99838339216154e-76,cis,Activated,Pt4,X5,1
128,ARGLU1,ENSG00000134884,0.0927483651920295,0.247615011676593,1.56659056610662,0,cis,Activated,Pt4,X5,1
129,ARHGAP17,ENSG00000140750,0.0337318850571242,0.918817139655493,0.822061804462308,1.04051294796525e-47,trans,Activated,Pt4,X5,1
130,ARHGAP32,ENSG00000134909,0.0734308900935276,0.665353156077849,0.980187423968246,5.75863802231641e-63,cis,Activated,Pt4,X5,1
131,ARHGAP35,ENSG00000160007,0.157857915219812,0.221976706083291,0.775284247056503,2.15808761018086e-54,cis,Activated,Pt4,X5,1
132,ARHGAP5,ENSG00000100852,-0.062798704703596,0.685985511144594,0.720209961921494,2.26596979446172e-41,trans,Activated,Pt4,X5,1
133,ARHGDIA,ENSG00000141522,-0.0252885043837486,0.821696405939589,0.61063725121212,3.54538690010021e-67,cis,Activated,Pt4,X5,1
134,ARHGEF10,ENSG00000104728,0.152961619129601,0.336725312824756,1.16887221838301,1.38226082205198e-83,cis,Activated,Pt4,X5,1
