gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
ARFIP1,ENSG00000164144,0.602471700600485,9.68669598129423e-35,0.810499877536748,1.28963161237818e-48,cis,Towards UnRx
ARHGAP21,ENSG00000107863,-0.547333721709245,2.32539825110462e-25,0.15753410971225,0.0123933035382726,trans,Away from UnRx
ARHGAP32,ENSG00000134909,0.667475935209271,7.31854589983662e-37,0.980187423968246,5.75863802231641e-63,cis,Towards UnRx
ARHGAP35,ENSG00000160007,0.826418088008428,3.01969298808712e-73,0.775284247056503,2.15808761018086e-54,cis,Towards UnRx
ARHGEF12,ENSG00000196914,0.726514306129809,2.04264224131805e-49,1.04477031001386,7.8940374536575e-79,cis,Towards UnRx
ARHGEF26,ENSG00000114790,-0.582178175278949,6.27283577758732e-30,-0.658554777002174,8.68386545034473e-34,trans,Towards UnRx
ARHGEF35,ENSG00000213214,0.552361663611213,3.68985735801931e-20,0.881785236557437,1.1255644653978e-40,cis,Towards UnRx
ARID4B,ENSG00000054267,0.579438565507222,2.3378889754239e-72,0.647586748238647,9.20162016664186e-77,trans,Towards UnRx
ARID5B,ENSG00000150347,1.57366061982799,1.88514809957764e-161,1.32775299301744,6.70354006186393e-90,trans,Towards UnRx
ARIH1,ENSG00000166233,-0.559766529191384,4.00022491245773e-42,0.877570118230488,2.20089815575683e-66,cis,Away from UnRx
ARL1,ENSG00000120805,0.910651533913918,1.39740974314771e-82,0.468018905875095,9.53087598722737e-22,trans,Towards UnRx
ARL16,ENSG00000214087,0.532176299297661,4.04931803774738e-34,1.04271292775607,1.34833267864443e-95,cis,Towards UnRx
ARL2,ENSG00000213465,0.680021382368338,6.05124383108728e-95,0.285312717459111,1.08222711944776e-18,cis,Towards UnRx
ARL3,ENSG00000138175,0.665216390388116,7.84903787040079e-92,0.358419900144885,7.43700966440584e-29,trans,Towards UnRx
ARL4C,ENSG00000188042,1.67651971235857,1.05395101669761e-182,1.56893738795949,1.8893604318656e-126,trans,Towards UnRx
ARL6IP4,ENSG00000182196,0.531768418411092,9.87881420029916e-121,0.365981608867194,1.21773772763404e-55,trans,Towards UnRx
ARL8A,ENSG00000143862,0.754537820036124,5.72400007699426e-63,0.295274766879976,8.8487495779913e-11,trans,Towards UnRx
ARMC2,ENSG00000118690,-0.521014712389304,2.57622521057355e-18,-0.316002298547208,1.94059806109614e-06,cis,Towards UnRx
ARMCX3,ENSG00000102401,-0.556489506536372,3.36970479051162e-41,0.544034129849213,1.19941346513079e-27,trans,Away from UnRx
ARMCX6,ENSG00000198960,-0.511832104451353,4.886154557338e-25,-0.111433469939689,0.0488958365585884,trans,Towards UnRx
ARPC3,ENSG00000111229,1.21387317418508,1.20518518221274e-265,0.127917693266876,1.00599290817241e-05,trans,Towards UnRx
ARRDC4,ENSG00000140450,0.792740955287391,1.33788004773176e-42,1.32062909883063,7.13197954106432e-92,cis,Towards UnRx
ARSD,ENSG00000006756,0.877876438409765,3.94130775391366e-55,1.6223697311986,2.55057336280708e-139,cis,Towards UnRx
ASAH1,ENSG00000104763,0.723480006769732,6.59456211136286e-75,0.707467989445474,1.27104012350657e-66,cis,Towards UnRx
ASAP2,ENSG00000151693,0.810174964945403,5.22290441126627e-60,0.235831621347652,3.98913051963558e-06,cis,Towards UnRx
ASB8,ENSG00000177981,-0.532249406996783,1.81375485858627e-33,-0.12598458302286,0.0102552951559703,cis,Towards UnRx
ASCC1,ENSG00000138303,-0.524007854347871,9.37143844799412e-35,-0.253266744202605,3.1148811242198e-08,cis,Towards UnRx
