gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,direction
KNTC1,ENSG00000184445,-0.106376684799696,0.629972685419009,0.532085580889995,0.000803706837228851,Activated
L1CAM,ENSG00000198910,-0.141429560890643,0.555054228205597,-0.630197461573806,5.10899729592138e-05,Repressed
LENG9,ENSG00000275183,-0.29042828964726,0.195000582616364,-0.545613111919527,0.000509050572475075,Repressed
LIMK1,ENSG00000106683,-0.0649537534062264,0.85333089524867,-0.783335284632226,4.05861402126317e-07,Repressed
LINC00467,ENSG00000153363,-0.107572530359218,0.756753097409191,-0.792993339467971,4.47351408236447e-10,Repressed
LMNB1,ENSG00000113368,0.100892044326505,0.645029498240792,0.557071843428318,5.24955623467501e-05,Activated
LMTK2,ENSG00000164715,0.0204110598297563,0.943364043026338,-0.534410874455355,0.000228604964290327,Repressed
LRCH4,ENSG00000077454,-0.274550028031201,0.121773502749958,-0.774210751324655,1.29576807190767e-09,Repressed
LSM3,ENSG00000170860,0.115697111516699,0.188117764908008,0.529789197490801,4.12651259730353e-18,Activated
LXN,ENSG00000079257,-0.211444603754026,0.386350147479848,0.550281049501832,2.62778865704115e-05,Activated
LYN,ENSG00000254087,0.0612776844078202,0.79301207110381,-0.573374645078952,3.48981334919226e-05,Repressed
MAD2L1,ENSG00000164109,0.0999386348262905,0.626044240091158,0.687578816801848,3.35561069982653e-07,Activated
MAK16,ENSG00000198042,0.0106085523926629,0.969126928741332,-0.905315211537658,1.79442086119689e-14,Repressed
MAML2,ENSG00000184384,-0.183437138287545,0.243200915884473,-0.577889095651626,1.05819130813666e-07,Repressed
MAP3K20,ENSG00000091436,0.0413884190616487,0.841560263441701,0.550973119120877,2.30086227765946e-06,Activated
MARVELD3,ENSG00000140832,0.190187641540591,0.300115562753664,0.97398091756488,9.34274220704434e-16,Activated
MCM3,ENSG00000112118,0.0511814840672984,0.818422500579434,0.593489920614356,2.47663112050207e-06,Activated
MDM4,ENSG00000198625,0.259679046182506,0.14318235020344,-0.536685888023169,1.18696140629701e-05,Repressed
MESP1,ENSG00000166823,-0.112688237559107,0.539101790442981,-0.906893838363838,1.80917896108947e-13,Repressed
MIDN,ENSG00000167470,-0.181559647857277,0.26673871694101,-0.673858138109652,1.15124497042484e-08,Repressed
MIER1,ENSG00000198160,0.00128984918171832,0.998558229635982,-0.606194826095698,1.57700513094575e-09,Repressed
MIGA1,ENSG00000180488,-0.04464523032097,0.844604178543176,-0.635649164583437,1.09793562268855e-06,Repressed
MIR4458HG,ENSG00000247516,0.0800788511763837,0.80615781703843,-0.522951773421401,0.000417660934641043,Repressed
MIS18A,ENSG00000159055,0.142018995672612,0.44881152455781,0.636952598128024,1.65425049235503e-07,Activated
MKI67,ENSG00000148773,0.320079416250226,0.128936768132172,0.873343602660849,2.65459035879673e-08,Activated
MLPH,ENSG00000115648,0.183703757151029,0.400060382482188,-0.533698461039585,0.000393943749085898,Repressed
MND1,ENSG00000121211,0.280377014376038,0.161771139422673,0.66336788952291,4.4208955883861e-06,Activated
MPND,ENSG00000008382,0.0725220249759824,0.814888616146829,0.59438871446815,4.40142034770001e-05,Activated
MPP7,ENSG00000150054,-0.199997775405887,0.413334835607382,-0.527349500123274,0.000730260495880989,Repressed
MRAS,ENSG00000158186,0.0194750789940162,0.930108219213125,-0.529309463662132,0.00015652823842742,Repressed
MSLN,ENSG00000102854,0.0132962291388108,0.934823206579807,-0.947606111681295,1.12534750793065e-33,Repressed
MTF1,ENSG00000188786,-0.0875266987970373,0.697967632492748,-0.713170797590672,7.905571907925e-08,Repressed
MTURN,ENSG00000180354,-0.111250286072007,0.55515839038525,-0.562577306970871,7.99302186634181e-07,Repressed
MVD,ENSG00000167508,0.22471602513864,0.225220471786682,0.501194795050798,8.10331676105402e-05,Activated
MYBL2,ENSG00000101057,0.16047545885488,0.427121384793082,0.537925738789526,0.000197547572233133,Activated
MYO1E,ENSG00000157483,-0.0153147576013851,0.953647486450555,0.510588255004254,0.000447975328252669,Activated
NAA38,ENSG00000183011,0.109097427260891,0.409576363157818,-0.545173824001015,2.20815534423002e-12,Repressed
NAALADL2,ENSG00000177694,0.0629293664134786,0.784149823490622,-0.588457200986101,8.85311644560526e-05,Repressed
NAE1,ENSG00000159593,0.0655633522821771,0.584725901004652,1.246538962619,3.93064655198818e-51,Activated
NCAPG,ENSG00000109805,0.237515877680112,0.260227969257371,0.842878530388927,1.06190429700047e-08,Activated
NCEH1,ENSG00000144959,-0.227127795764717,0.327056433499404,-0.562080412078742,0.000347323735910648,Repressed
NDC80,ENSG00000080986,0.252387285209525,0.237710973589259,0.764243975299689,3.3557079004592e-07,Activated
NDUFA1,ENSG00000125356,-0.109489181108432,0.271420510951715,-0.639224098397949,1.73873957035896e-23,Repressed
NDUFA3,ENSG00000170906,-0.156397492975616,0.232127420518374,-1.1160911875888,9.00663118371635e-42,Repressed
NDUFB1,ENSG00000183648,-0.154596290025061,0.245685455757013,-1.11859972503273,8.82634519763944e-44,Repressed
NET1,ENSG00000173848,0.016722994090127,0.932689214243983,0.570725331460146,4.89545323320629e-10,Activated
NFATC3,ENSG00000072736,0.0618993582213602,0.766561727984695,0.67688591876101,3.21798417926644e-08,Activated
NFIA,ENSG00000162599,-0.227436148184794,0.112364432290812,-0.652321918255817,5.24423411840461e-10,Repressed
NFKBIA,ENSG00000100906,-0.243792868859447,0.12084303106942,-0.503117069237252,2.50960830472286e-05,Repressed
NFKBID,ENSG00000167604,0.0881925211723274,0.853095701603493,0.723212453741563,2.05651194698667e-07,Activated
NFKBIZ,ENSG00000144802,-0.31087833710909,0.104713016913822,-0.86782607937197,1.68394515025745e-09,Repressed
NIP7,ENSG00000132603,0.0551069882349535,0.744202590999562,0.811876829126245,7.9914975589577e-16,Activated
NOB1,ENSG00000141101,-0.0664729370852827,0.689835117709535,0.570136202302582,1.20544013277656e-08,Activated
NPAS2,ENSG00000170485,-0.0197843406875981,0.963794312284496,-1.07266792310481,1.2006660110828e-13,Repressed
NPW,ENSG00000183971,0.269092942283475,0.192620892586705,-0.680030581403233,1.23170519220082e-05,Repressed
NRDE2,ENSG00000119720,-0.0155238439797968,0.963794312284496,-0.554961493983445,0.000420196112201986,Repressed
NSUN5,ENSG00000130305,-0.179916222953617,0.283938567378641,-0.628065938760029,3.90570015455169e-08,Repressed
NUDT2,ENSG00000164978,0.0233059846009011,0.927062379226774,0.543366789187851,1.35899240463563e-05,Activated
NUF2,ENSG00000143228,0.171532971633049,0.443788748430397,0.634408539780763,3.91205184987682e-05,Activated
NUTF2,ENSG00000102898,0.190555422360623,0.160163985254708,0.733917750962625,1.30718424319114e-13,Activated
OIP5,ENSG00000104147,0.0961348684728624,0.652062817512552,0.559758496755691,0.000485911051997424,Activated
OSBPL3,ENSG00000070882,-0.12559330166088,0.663427150018931,-0.60020989687178,4.76827482959429e-05,Repressed
OSGIN2,ENSG00000164823,0.0731540333368371,0.878590905171212,0.820044760608619,6.64121998949257e-11,Activated
OSMR,ENSG00000145623,0.15702419831134,0.474594622692733,-0.531032326089038,0.00146595384012534,Repressed
OVOL2,ENSG00000125850,0.211848572931755,0.174174246664728,0.504861252022923,7.42196929544071e-06,Activated
PAPSS1,ENSG00000138801,-0.0598568272991137,0.59966472418365,0.512489895984917,5.64824647328793e-11,Activated
PAQR3,ENSG00000163291,0.13550325973811,0.534708676086681,0.578866704080736,0.00032532235159533,Activated
PARD6A,ENSG00000102981,-0.0358522176929958,0.973647099857536,1.18506851028796,2.01473872144587e-21,Activated
PBK,ENSG00000168078,-0.275545539327534,0.146522329771749,0.515067505301221,0.00023858068076934,Activated
PCBD1,ENSG00000166228,0.0447811565855408,0.710938323998945,0.587055521999491,2.07982191345171e-16,Activated
PCLAF,ENSG00000166803,0.0296679198069288,0.916135817075911,1.01300044372232,2.11150384778773e-12,Activated
PCMT1,ENSG00000120265,0.0083602630547404,0.967561262776305,0.501868623857423,9.53736991438925e-09,Activated
PCNA,ENSG00000132646,-0.133089252052728,0.381668777644687,0.67655314085333,9.25388105675611e-11,Activated
PCTP,ENSG00000141179,0.0679125644594292,0.759766692638398,0.600006553109896,5.35463938302878e-05,Activated
PDCD5,ENSG00000105185,0.111353338229384,0.159298019988417,0.557703498717141,2.59655272180965e-21,Activated
PDPK1,ENSG00000140992,-0.197167763826277,0.245685455757013,-0.608747632239584,4.98095582715772e-07,Repressed
PHF1,ENSG00000112511,-0.222888185417672,0.224784100134716,-0.740878472255001,1.77286575932153e-07,Repressed
PHF19,ENSG00000119403,0.182044144880718,0.307570788370383,0.615175169242284,7.26134466918213e-07,Activated
PILRB,ENSG00000121716,-0.0509156553671651,0.776373400152433,-0.507033447193868,4.44274060876332e-06,Repressed
PLBD1,ENSG00000121316,-0.15346177862084,0.264181503346445,0.889954888660554,1.79615371859906e-18,Activated
PLD2,ENSG00000129219,-0.230877832632026,0.227762474147805,-0.692116009869165,9.4976695913641e-08,Repressed
PLIN2,ENSG00000147872,0.204612642947298,0.305891762953171,-0.687133790752026,2.90562849539215e-06,Repressed
PLPBP,ENSG00000147471,0.0151254611665882,0.956044213093639,-0.85601700419989,1.28289602287343e-13,Repressed
POLB,ENSG00000070501,0.129222031611752,0.535249034819153,-0.868331084833527,1.18784255718663e-12,Repressed
POLR3D,ENSG00000168495,0.231355989099237,0.335403213626965,-0.617630453378088,1.75825649901697e-05,Repressed
POLR3H,ENSG00000100413,0.259657168504479,0.108385251276483,0.551636048929764,2.29249061617712e-06,Activated
POMGNT2,ENSG00000144647,0.14080000831302,0.391618795442246,0.748786763693245,1.47667380117301e-11,Activated
PPL,ENSG00000118898,-0.219674385068492,0.182344815433631,-0.518949614002864,6.31293840840657e-06,Repressed
PPP1R15B,ENSG00000158615,-0.100198369418254,0.623812235821208,-0.597829199645749,5.24042979116057e-06,Repressed
PPP2R1B,ENSG00000137713,0.28928947300876,0.131956414601075,0.524317666397763,0.000149335528136926,Activated
PQLC1,ENSG00000122490,0.0303346906566182,0.857359336396403,0.590932820198435,3.08521984075891e-10,Activated
PRCP,ENSG00000137509,-0.0682794460433108,0.734996028268817,0.699612757372255,3.27752805300271e-09,Activated
PRDX2,ENSG00000167815,0.0554429557937996,0.563594787594664,0.533821137674517,3.1567831793118e-18,Activated
PRELID2,ENSG00000186314,0.28209390479453,0.203355158306908,0.582982792792112,0.000185024347526955,Activated
PRELID3A,ENSG00000141391,0.305419560054339,0.137219250106431,0.591570121153947,0.000107642937774052,Activated
PRICKLE1,ENSG00000139174,0.0759951968228954,0.763054264183187,-0.567477378799172,9.35163054121088e-05,Repressed
PROSER2,ENSG00000148426,-0.179547529121246,0.410978196696655,-0.642943740270839,1.27811893185479e-05,Repressed
PRRX2,ENSG00000167157,-0.174661304564978,0.403371520136563,-1.46070105121947,4.31666242582031e-23,Repressed
PSKH1,ENSG00000159792,0.136389361930254,0.60816731327328,0.516939344479307,0.000882812054201134,Activated
PTBP2,ENSG00000117569,0.0428796399596884,0.877886874839495,-0.517309410338706,0.000449483700334115,Repressed
PURB,ENSG00000146676,-0.226338320635915,0.152402870893779,-0.599538301018928,2.8855454428743e-08,Repressed
RAB32,ENSG00000118508,0.246702435483856,0.139433993902676,0.947555365884858,1.67292683599777e-14,Activated
RAB40C,ENSG00000197562,0.198518744792127,0.39578987951785,-0.663263687303519,9.68134120078175e-07,Repressed
RANBP10,ENSG00000141084,0.317219390099934,0.139756502329468,0.506045859157581,0.0016046563193558,Activated
RARRES3,ENSG00000133321,-0.161469195106819,0.448545461139021,-0.638739424251585,5.65697675733793e-06,Repressed
RASD2,ENSG00000100302,0.192304881095644,0.330910236168279,-0.565909460229549,3.18277336679368e-05,Repressed
RBAK,ENSG00000146587,-0.280753453636731,0.188597349838745,-0.848686430234126,2.570909699538e-09,Repressed
RBAK-RBAKDN,ENSG00000272968,-0.0102298169760895,0.951764747599064,-0.617186799288942,1.66734483495601e-05,Repressed
RBM23,ENSG00000100461,0.167268677462693,0.425408917440565,-0.550225966720469,2.9473245077939e-05,Repressed
RBM48,ENSG00000127993,-0.0815034569848199,0.765653964874623,-0.514934803974275,0.000351878594908997,Repressed
RBPMS,ENSG00000157110,0.223234098479476,0.297988301080569,0.833398728427657,3.97226438619793e-10,Activated
RECQL4,ENSG00000160957,0.134355147121023,0.651885300521079,0.621754678499655,7.87728361337795e-06,Activated
RFX1,ENSG00000132005,-0.0174047034541575,0.98287919347178,-0.667205341889536,1.32699231961353e-06,Repressed
RGL2,ENSG00000237441,-0.200161834459159,0.200000860131462,-0.59104757448452,3.44927282601219e-08,Repressed
RLF,ENSG00000117000,-0.0673223113097135,0.757137388971182,-0.70221321587793,2.81860394702077e-08,Repressed
RND2,ENSG00000108830,0.180013150273228,0.391618795442246,0.650066813598402,2.11211540185963e-05,Activated
RNF11,ENSG00000123091,-0.105581756956569,0.574631414322068,-0.534115661863369,4.02770071988809e-06,Repressed
RNPC3,ENSG00000185946,0.0770937735478795,0.767711978912626,-0.773345706179021,1.85969273061232e-06,Repressed
ROMO1,ENSG00000125995,-0.0374449507187353,0.849171877056824,-0.797941804240352,4.93699752545888e-15,Repressed
RPP38,ENSG00000152464,-0.17765368117635,0.266354738167326,-0.566125299628934,2.31256026902787e-07,Repressed
RPP40,ENSG00000124787,0.0909231484638118,0.557276770319375,0.656794094300196,1.06521878549015e-10,Activated
RPUSD1,ENSG00000007376,0.0643764011244219,0.765653964874623,-0.50855795972164,6.39774047578625e-05,Repressed
RRAS,ENSG00000126458,-0.291758443095544,0.105865536832236,-0.862242240742204,1.16390280286186e-11,Repressed
RREB1,ENSG00000124782,-0.0890136670896284,0.723021361250039,-0.58293473601214,9.36963449588763e-06,Repressed
RTCA,ENSG00000137996,-0.249383764724521,0.121773502749958,-0.528848111449982,3.14957677268061e-06,Repressed
SARS,ENSG00000031698,-0.158993976874274,0.291865956779084,-0.638586431366594,4.3636608005827e-11,Repressed
SBNO2,ENSG00000064932,-0.0688986117587719,0.745580160553891,-0.530866179159376,0.000120390399308757,Repressed
SEC61G,ENSG00000132432,-0.123298061717117,0.152743982108263,-0.946348951653385,2.14327090588983e-52,Repressed
SEPT8,ENSG00000164402,0.11750519876603,0.608093223453475,0.586865254272616,7.95125761406729e-06,Activated
