gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
BAG3,ENSG00000151929,0.731349728610029,0.00281540413032897,-0.00985966476874607,0.987865909721039,trans,Away from UnRx
BAIAP2,ENSG00000175866,-0.656052160287143,0.000141689904754123,0.377697232906355,0.104070492219672,trans,Away from UnRx
BAMBI,ENSG00000095739,-0.909067865171197,0.000156316733095552,-0.248343075330769,0.453600925875066,trans,Towards UnRx
BARX1,ENSG00000131668,-0.588450194629499,0.00425714154655712,-0.428966286476629,0.101597008312913,trans,Towards UnRx
BASP1,ENSG00000176788,-0.845832727561247,0.00452283757067524,-0.794486414815132,0.0140940916418793,trans,Towards UnRx
BAX,ENSG00000087088,-0.520043965858553,0.00914701633191749,-0.230157480617532,0.325576840856163,trans,Towards UnRx
BBC3,ENSG00000105327,0.951971318044152,1.05390441345625e-05,1.24908945601899,1.19794681805513e-06,trans,Towards UnRx
BBOX1,ENSG00000129151,0.854471852732892,0.000468056692083901,1.12343163202851,5.86479031386526e-05,trans,Towards UnRx
BCAP29,ENSG00000075790,0.598508651605931,0.00397445419103997,0.289904463435468,0.293346314600493,trans,Towards UnRx
BCAS4,ENSG00000124243,-0.755381383627256,0.000662511608228585,-0.0540370763694253,0.889580102355389,trans,Towards UnRx
BDP1,ENSG00000145734,-0.596931135654366,0.00038509957854728,0.0496080273381297,0.883179519904728,trans,Away from UnRx
BEST1,ENSG00000167995,1.69876918308921,5.62820881201177e-17,0.392053421546016,0.148278677382332,trans,Towards UnRx
BET1L,ENSG00000177951,0.757491389965159,0.000781686040551342,0.4524001078599,0.101597008312913,trans,Towards UnRx
BID,ENSG00000015475,0.526380765141618,0.000553689832173022,0.182502203892353,0.364990568887081,trans,Towards UnRx
BIK,ENSG00000100290,0.778685780090922,0.00223225996428655,0.607169567646764,0.0926569884783661,trans,Towards UnRx
BIN2,ENSG00000110934,0.674876673631895,0.00429148184871127,0.90634976700131,0.00138448590680807,trans,Towards UnRx
BIRC3,ENSG00000023445,1.99635037837754,5.09531614258911e-14,0.944031543087888,0.00309687136024638,trans,Towards UnRx
BOC,ENSG00000144857,-1.08166184232853,1.81509597657352e-07,-0.749016820422443,0.0023232043703966,trans,Towards UnRx
BPGM,ENSG00000172331,0.941471836034321,1.81825779919653e-07,0.176324027443875,0.516430865799363,trans,Towards UnRx
BTG1,ENSG00000133639,0.833355408389421,2.00635497617518e-05,0.412765076821756,0.110190097999738,trans,Towards UnRx
C11orf54,ENSG00000182919,0.699108219033456,0.000941799869790715,0.602946100320346,0.0165281784179077,trans,Towards UnRx
