gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,G,H,R,ct,col,label,color
NCOA3,-0.0675612631685778,7.43164481163471,2.05718996835811,0.20792645934713,0.370652226809961,ENSG00000124151,0.530520595708114,7.24056265945777,69.7375033986996,8.31681014115272e-13,2.34256397530066e-12,ENSG00000124151,4,4,NA,3,3,3,2,4,cis,FALSE,Activated cis,darkred
NCOA6,0.00787556134172246,7.59804955450725,0.0286406178541697,0.865618345619611,0.928565163526825,ENSG00000198646,0.637205814129105,7.41681049644119,95.9708541654663,2.19202428418128e-22,9.83385615915517e-22,ENSG00000198646,4,4,NA,3,3,3,2,4,cis,TRUE,Activated cis,darkred
NDC1,0.0112875200834464,7.47054530911887,0.0439200137626881,0.899604065061332,0.949082094804718,ENSG00000058804,-0.624373337015748,7.34590328516118,116.11605830609,1.12226851996112e-26,6.01312641348747e-26,ENSG00000058804,3,3,NA,3,3,3,3,3,trans,FALSE,Repressed trans,deepskyblue
NDUFA4,0.0236110216528323,10.3696117446164,1.82844251750988,0.176372836776456,0.3317175624908,ENSG00000189043,0.584171912887032,10.2815869990461,448.56310250153,5.23634587843502e-94,1.58011427419616e-92,ENSG00000189043,NA,4,4,4,3,NA,NA,NA,unkn,TRUE,0,0
NDUFA9,-0.0654519455298059,7.96310727767731,2.72606371141486,0.0987851957954879,0.218159108193129,ENSG00000139180,-1.38067749004303,8.04806158956587,1103.54389256182,1.00255530853123e-211,1.14662621953497e-209,ENSG00000139180,3,3,NA,5,5,5,5,NA,cis,TRUE,Repressed cis,deepskyblue4
NDUFAF4,0.0555169618372347,8.02298646179476,1.99328700576273,0.158059910092008,0.307041300235454,ENSG00000123545,-0.611986456178962,8.00276983224079,182.115719683978,1.53678849193309e-40,1.29780263501027e-39,ENSG00000123545,4,4,NA,3,3,3,3,3,cis,FALSE,Repressed cis,deepskyblue4
NDUFAF6,0.0534133029461967,7.46854730747154,1.24847804386339,0.286401823484331,0.459573872692671,ENSG00000156170,-0.853380817429615,7.36315758576215,237.304331765835,2.09171058625371e-50,2.3660081649639e-49,ENSG00000156170,2,2,NA,3,3,3,3,2,cis,FALSE,Repressed cis,deepskyblue4
NDUFAF8,0.0241458614958891,8.70021362860168,0.769144509753768,0.380524013372949,0.556927060702669,ENSG00000224877,0.840482678942641,8.54801509722668,406.389348573246,8.67310180083888e-86,2.22569570866957e-84,ENSG00000224877,NA,NA,3,3,3,3,NA,NA,unkn,TRUE,0,0
NDUFC2,0.0303277811777298,9.07571708418535,1.66893656252781,0.196460804294492,0.35696824760038,ENSG00000151366,0.645732927316688,8.9530207488105,343.324688394567,2.47317400837147e-73,4.84386554197745e-72,ENSG00000151366,NA,NA,3,NA,3,3,2,NA,unkn,TRUE,0,0
NDUFS1,-0.0793466784258447,7.9320996213471,3.96970996409557,0.0463800881359985,0.125007679008937,ENSG00000023228,0.754821279279138,7.7425993865684,178.346364677758,9.3535430684838e-40,7.71604835141887e-39,ENSG00000023228,NA,3,3,3,3,3,3,3,unkn,FALSE,0,0
