gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,G,H,R,ct,col,label,color
BIRC2,-0.0548446605005239,7.45734758004622,1.83076889743049,0.176100847046937,0.209259307286016,ENSG00000110330,0.573160607458411,7.15235697617136,151.200205384516,4.15354133919184e-34,1.55361245707112e-33,ENSG00000110330,NA,NA,NA,NA,4,4,3,NA,unkn,FALSE,0,0
BOD1L1,0.0127356872951523,8.62076767978706,0.235349656950318,0.627607468215485,0.667265446486947,ENSG00000038219,0.689546966458929,8.35589770269031,517.004109707833,1.91869674159727e-107,2.94571467817357e-106,ENSG00000038219,NA,NA,3,3,3,3,2,3,unkn,TRUE,0,0
BRMS1,0.0677283320820784,7.34825985130952,2.58261496327901,0.108109197191173,0.132711351381208,ENSG00000174744,0.529947597693859,7.06705757229841,123.637226849034,2.73729258630071e-28,8.71615923476487e-28,ENSG00000174744,3,3,3,3,3,3,2,3,cis,TRUE,Activated cis,darkred
BRPF3,0.0550344353314623,7.03067077281798,1.15180354579865,0.352324716742986,0.395689579964012,ENSG00000096070,0.734976950455908,6.70552261810622,161.541884438777,1.79981997658592e-34,6.8018920015455e-34,ENSG00000096070,6,NA,NA,NA,4,4,4,5,cis,TRUE,Activated cis,darkred
BSDC1,0.00289987094574766,7.09382923454459,0.002825829153003,0.986019693902814,0.989275186639062,ENSG00000160058,0.57700999703642,6.77750536477456,105.111172317063,2.38149565456351e-24,6.80850298215482e-24,ENSG00000160058,2,2,2,2,2,2,2,2,trans,TRUE,Activated trans,coral2
C10orf55,0.0825075592418781,6.92343518192128,3.05875892662059,0.150268476750869,0.180422926826833,ENSG00000222047,-0.517636396130671,6.68256012546917,92.3815808326622,3.76946062323083e-18,8.86862866382023e-18,ENSG00000222047,NA,NA,NA,NA,2,NA,NA,2,unkn,FALSE,0,0
C12orf4,0.0846403429517357,6.9263120275043,3.00981732942734,0.157775079102303,0.188893086585231,ENSG00000047621,-0.548608946074193,6.69007805855912,101.911601175396,7.24378125426278e-21,1.86027477804301e-20,ENSG00000047621,3,3,NA,5,5,5,5,NA,cis,FALSE,Repressed cis,deepskyblue4
C1orf131,-0.031945519613587,7.21501125742083,0.477006409985212,0.526013512184445,0.570132241697537,ENSG00000143633,-0.945258424067414,7.15811679862109,465.95808563318,1.32894772949989e-97,1.78169950350441e-96,ENSG00000143633,NA,NA,NA,4,4,4,4,3,unkn,TRUE,0,0
C1orf52,0.0457409609538143,7.55898029685361,1.45116473118722,0.228400891118936,0.265338755345307,ENSG00000162642,0.519174860468389,7.29096138014081,150.651529015968,5.41727881611227e-34,2.02344545610295e-33,ENSG00000162642,4,4,4,3,3,3,3,4,cis,TRUE,Activated cis,darkred
C21orf58,0.0381862060501521,7.70312886712662,0.687454068121086,0.407073166843984,0.452313542062212,ENSG00000160298,1.44242562978214,7.31986383187921,648.990063846559,2.36772639103383e-132,5.25069387093415e-131,ENSG00000160298,NA,NA,3,3,3,3,3,NA,unkn,TRUE,0,0
C22orf39,-0.00177338146782523,7.38418406385917,0.00260081927298269,0.959329066803255,0.966363825404625,ENSG00000242259,0.631496120328284,7.08017710154823,176.529321493066,2.05458747456601e-39,8.92543174782721e-39,ENSG00000242259,2,2,2,2,2,2,2,2,trans,FALSE,Activated trans,coral2
C2CD6,0.0173981270588872,7.09009025930062,0.109424009218255,0.794973348502237,0.821346871912264,ENSG00000155754,1.01251569318448,6.74416747885644,295.307620674554,8.22330608663913e-64,6.12578392848371e-63,ENSG00000155754,NA,NA,3,3,3,3,3,NA,unkn,TRUE,0,0
CAND1,0.0593112430694989,7.73426386877765,2.85112291903734,0.0913754729501366,0.113517497862236,ENSG00000111530,0.69743315842196,7.44987904408651,302.331134616425,3.13256642087085e-65,2.42401518653781e-64,ENSG00000111530,3,NA,NA,2,2,2,2,2,cis,TRUE,Activated cis,darkred
CARD19,0.0688733295364132,7.3181548771793,2.57551816082563,0.108594727146705,0.133225828704081,ENSG00000165233,1.1503705547672,6.97035601947387,495.729614456897,2.34334333329389e-103,3.36791926353027e-102,ENSG00000165233,4,NA,4,4,5,4,4,4,trans,TRUE,Activated trans,coral2
CARS2,-0.0388815081624657,7.33297300050022,0.815531444611213,0.366535493951818,0.410362613972181,ENSG00000134905,0.872438235183338,6.99209887576449,303.380662397054,1.92332876753316e-65,1.49705457711301e-64,ENSG00000134905,NA,NA,NA,2,2,2,2,4,unkn,FALSE,0,0
CBLL1,0.0746834593682934,7.06698039587633,2.32385878824132,0.14361551805748,0.172952613796135,ENSG00000105879,0.546471736844133,6.76083706588126,96.3161406235597,1.80184315320782e-22,4.85355153415643e-22,ENSG00000105879,3,3,3,2,2,2,2,3,cis,TRUE,Activated cis,darkred
CCAR2,0.0309507962341613,7.17777230369352,0.428526230753303,0.528079368561351,0.572062213236819,ENSG00000158941,0.547541556344919,6.87488792074024,107.417171197604,7.67655612036441e-25,2.2302282516126e-24,ENSG00000158941,NA,NA,NA,2,2,2,2,NA,unkn,TRUE,0,0
CCDC136,-0.0163461322722431,6.93604014053495,0.120477013004502,0.745466804224733,0.777325685012543,ENSG00000128596,0.829051350422369,6.59445565279645,233.005403738043,9.70920452532742e-35,3.70371314348768e-34,ENSG00000128596,3,3,NA,2,2,2,2,3,cis,FALSE,Activated cis,darkred
CCDC180,0.0933818928371517,6.89353428368365,4.06188589796262,0.120753641685291,0.147116695276406,ENSG00000197816,0.577205142828729,6.56846102066593,124.811784480266,2.11744877746503e-17,4.87344934030137e-17,ENSG00000197816,4,NA,4,4,5,4,4,4,trans,TRUE,Activated trans,coral2
CCDC47,0.0515767174276752,7.91862368782123,2.60785080902023,0.106401893202934,0.130807672555967,ENSG00000108588,0.641014834883072,7.65192130518114,308.644033806521,1.66913907990863e-66,1.33053151373576e-65,ENSG00000108588,NA,NA,3,3,3,3,3,NA,unkn,TRUE,0,0
CCDC50,-0.034426044157992,7.43598153334092,0.66336981220226,0.415413427906281,0.460560072420585,ENSG00000152492,0.752629845676967,7.11074903037628,238.829414090215,2.63245544213032e-52,1.54357614561278e-51,ENSG00000152492,NA,NA,3,3,3,3,3,3,unkn,FALSE,0,0
CCDC57,-0.0153876054555178,7.05900046045327,0.0994566411063314,0.752496452146146,0.783840700334637,ENSG00000176155,0.988983862218686,6.71107468672137,291.114537136852,1.89973420298787e-60,1.31859503931796e-59,ENSG00000176155,NA,NA,3,3,3,3,NA,NA,unkn,FALSE,0,0
CCDC58,0.0502232976643511,7.09154628328491,1.08612985450308,0.311324281398436,0.353602887514273,ENSG00000160124,-1.09480593777215,7.02513814512059,572.30750683606,5.67243821253849e-118,1.01528005773658e-116,ENSG00000160124,2,2,2,2,2,2,2,2,trans,FALSE,Repressed trans,deepskyblue
CCNB2,0.0847328842978453,7.81283990059022,2.31685499966079,0.128044800995461,0.155508449119836,ENSG00000157456,1.1094219069184,7.4809396913633,282.302097137706,3.54492275309305e-61,2.50154722363031e-60,ENSG00000157456,NA,NA,NA,NA,2,2,2,NA,unkn,TRUE,0,0
CCNL2,-0.0257068637262527,7.29875786505481,0.333397280555829,0.563692699496658,0.606318823399388,ENSG00000221978,0.554349711962296,6.99307634474753,119.736302676926,1.84022855094768e-27,5.73539705713748e-27,ENSG00000221978,2,2,2,2,2,2,2,2,trans,FALSE,Activated trans,coral2
CCNT2,-0.0628734929100271,7.16726188862315,1.74513268316942,0.186553131333306,0.220659919911582,ENSG00000082258,0.632849772974316,6.84267826836132,131.691148563066,5.39461349815173e-30,1.80411702761458e-29,ENSG00000082258,3,NA,3,3,3,3,3,NA,trans,FALSE,Activated trans,coral2
CDC14A,-0.0272845804252912,6.90795505065101,0.305432354289426,0.683467621005069,0.720014003933063,ENSG00000079335,0.592097085782574,6.57527923525128,129.538143265355,1.12699716912305e-18,2.69409628361212e-18,ENSG00000079335,4,4,4,3,3,3,3,4,cis,FALSE,Activated cis,darkred
CDC16,-0.0179673033234125,7.59784473293157,0.240654106462158,0.623756637866529,0.664157099652321,ENSG00000130177,1.03490144269404,7.24420152545264,537.693430622781,2.12856087622464e-111,3.45336149520004e-110,ENSG00000130177,NA,NA,NA,NA,2,2,2,4,unkn,FALSE,0,0
CDC25C,-0.0147077871524878,7.01480064796725,0.0564033273257995,0.918783319474084,0.931226918100477,ENSG00000158402,0.580554242101941,6.69258378318943,89.4978215617042,5.20434852785518e-21,1.34304949323377e-20,ENSG00000158402,2,2,2,2,2,2,2,2,trans,FALSE,Activated trans,coral2
CDC37,-0.0475348762854565,7.78566637368189,2.2093577747672,0.1372418266405,0.165854547788736,ENSG00000105401,-0.608293492035912,7.78988131507039,406.948576226578,4.45965291467605e-86,5.07249554101541e-85,ENSG00000105401,2,2,2,2,2,2,2,2,trans,TRUE,Repressed trans,deepskyblue
CDCA8,0.0269853476462185,7.32825755318527,0.233792028468862,0.628748424620449,0.668336782074821,ENSG00000134690,0.544773824381616,7.03831989034773,69.4558916592725,1.07722386328083e-16,2.41672831936047e-16,ENSG00000134690,2,2,2,2,2,2,2,2,trans,TRUE,Activated trans,coral2
CDK12,0.0176104366529854,7.69655818164887,0.233435333017073,0.629010362213969,0.668544346823708,ENSG00000167258,0.715765063575568,7.39769253890281,293.964020424292,1.53751108116758e-63,1.13573967992952e-62,ENSG00000167258,3,3,3,3,3,3,3,3,trans,TRUE,Activated trans,coral2
CDK5RAP3,0.0428544260846176,7.46183908407605,1.14423395791664,0.284813545259428,0.325482647505589,ENSG00000108465,1.02141113135981,7.12337346189647,451.698172720325,7.8314052282092e-95,1.00291288745759e-93,ENSG00000108465,4,NA,3,3,3,3,3,NA,cis,TRUE,Activated cis,darkred
CDS2,0.0654324649172909,7.23741274426783,2.09565947076206,0.147783648837334,0.177630879844275,ENSG00000101290,0.51952473944747,6.94803446358735,105.457742977247,2.00876738528396e-24,5.75534707517164e-24,ENSG00000101290,4,NA,4,4,4,4,3,NA,cis,TRUE,Activated cis,darkred
CEMIP2,-0.0408904895143365,6.91284233413488,0.727705457112241,0.473683999729669,0.519080226127103,ENSG00000135048,0.528900931417839,6.58255188236008,97.2958464004935,3.94300262450012e-15,8.38036603615878e-15,ENSG00000135048,4,4,4,4,4,4,4,4,trans,FALSE,Activated trans,coral2
CENPC,-0.0695462400025851,7.20678238858666,2.08224247819948,0.149086740008685,0.179089821371238,ENSG00000145241,0.619595387007864,6.88360410447245,127.666917232316,3.83288955351598e-29,1.25291426752448e-28,ENSG00000145241,2,2,2,2,2,2,2,2,trans,FALSE,Activated trans,coral2
CENPO,0.0695800259989657,7.1445919245065,1.94247577871354,0.163464866731615,0.195169149134973,ENSG00000138092,0.748306811721694,6.82802504408219,165.697268247537,3.77568908315592e-37,1.54027146631791e-36,ENSG00000138092,NA,NA,3,3,3,3,3,3,unkn,TRUE,0,0
CENPP,0.0771818586803845,7.16379383823767,2.51045497059089,0.113159536044523,0.138419593492861,ENSG00000188312,0.823558574548043,6.84236940578273,212.024376951145,8.72432638922728e-47,4.55508018485914e-46,ENSG00000188312,4,NA,4,4,5,4,4,4,trans,TRUE,Activated trans,coral2
CEP126,0.0336075122567562,7.306167341664,0.504298499526547,0.477652161921303,0.522914397352274,ENSG00000110318,0.854817228988977,6.9788105418208,243.523968508358,2.867953477717e-53,1.71590564973362e-52,ENSG00000110318,NA,NA,NA,NA,4,4,3,NA,unkn,TRUE,0,0
CEP290,-0.0420545941296327,7.564085577685,1.04977566891303,0.305610689822479,0.34742818246682,ENSG00000198707,0.59411533432667,7.26445241751311,157.21871386607,2.2605115614428e-35,8.77171360856272e-35,ENSG00000198707,NA,2,NA,2,2,2,2,2,unkn,FALSE,0,0
CERS4,0.0618007070925098,6.9296501244165,1.60247068359272,0.319298825339034,0.362004366365159,ENSG00000090661,0.870030590943443,6.59279930797037,268.523982015089,1.67835561148604e-38,7.11854276595804e-38,ENSG00000090661,2,2,2,2,2,2,2,2,trans,TRUE,Activated trans,coral2
CGNL1,0.0476097964873315,6.97928780833242,0.84073450475878,0.408317864802425,0.453545807292724,ENSG00000128849,1.09789813681204,6.63141574182542,358.054646961718,1.98659128507451e-62,1.43834104130856e-61,ENSG00000128849,NA,NA,NA,NA,2,2,2,NA,unkn,TRUE,0,0
